Number,Last Updated,SEC Number,Topics,Context
,Jan. 2023,,,Commission may also share information and documents with other regulators or authorities. Whether the Commission has shared information and documents received from an entity is a confidential matter. Th ese an d other possible uses of information and documents provided to the 
,Jan. 2023,,,"conference with the entity to discuss any issues identified during the examination. The entity will typically be given an opportunity to discuss any of the issues that the staff has raised during the examination and provide additional relevant information, including any actions that the entity has taken or plans to take to address the issues raised. In connection with any form of exit conference, the staff may speak with the entity ’s senior management and/or its board of "
,Jan. 2023,,,"being examined or inspected with written notification indicating either that the examination or inspection has concluded, has concluded without findings, or that the staff requests the entity undertake corrective action , within 180 days from the l ater of the complet ion of the on- site "
,Jan. 2023,,,"voluntarily come forward with high-quality, original information that leads to a successful Commission enforcement action in which the Commission obtains monetary sanctions totaling more than $1,000,000. The range for awards is between 10% and 30% of the monetary sanctions collected  in the Commission action or in a related action upon which the award is based. A  "
,Jan. 2023,,,"whistleblower must comply with the procedures and the conditions described in Rule 21F of the Securities Exchange Act of 1934. One of those procedures, among others, specifies that a whistleblower must provide the information to the Commission on Form TCR or through the Commission ’s online TCR portal and sign the required declaration. One of the conditions, "
,Jan. 2023,,,"Company Accounting Oversight Board, or any self-regulatory organization; or (iii) in connection with an investigation by the Congress, any other authority of the federal government, or a state Attorney General or securities regulatory authority . A whistleblower must be an individual, "
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",Persons who are to respond to the collection of information contained in this form are not required to respond unless the form displays a currently valid OMB control number.SEC0486 (03-21)Page 2(2) May only incorporate by reference previously submitted or fi  led fi  nancial statements
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","be found. For exhibits incorporated by reference, this description must be noted in the exhibits index for eachrelevant exhibit. All descriptions of where information incorporated by reference can be found must be accom- panied by a hyperlink to the incorporated document on EDGAR, which hyperlink need not remain active aft  er"
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",Cash and Cash Equivalents:   Investment Securities:   Loans:   Property and Equipment:   Total Assets:   Accounts Payable and Accrued Liabilities:   Deposits:   Long Term Debt:   Total Liabilities:   Total Stockholders’ Equity:   Total Liabilities and Equity:    Statement of Comprehensive Income InformationTotal Interest Income:Total Interest Expense: Depreciation and Amortization: Net Income:Earnings Per Share – Basic: Earnings Per Share – Diluted:
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","change your name. You will not be required to change your name if you are an established company, the character of your business has changed, and the investing public is generally aware of the change and the character of your Page 11current business."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","cir- cular. Highlight this cross-reference by prominent type or in another manner.(i) Approximate date of commencement of proposed sale to the public.(j) If the issuer intends to rely on Rule 253(b) and a preliminary off  ering circular is circulated, provide (1) a"
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","notsold. If there are no such arrangements, so state.(f) If there will be a material delay in the payment of the proceeds of the off  ering by the underwriter to thePage 14is- suer, the salient provisions in this regard and the eff  ects on the issuer must be stated."
