Number,Last Updated,SEC Number,Topics,Context,Question,Answer
,Jan. 2023,,,Commission may also share information and documents with other regulators or authorities. Whether the Commission has shared information and documents received from an entity is a confidential matter. Th ese an d other possible uses of information and documents provided to the ,What are the possible uses of information and documents provided to the Commission?,"The possible uses of information and documents provided to the Commission are that the Commission may share the information and documents with other regulators or authorities, and that the Commission may use the information and documents to investigate possible violations."
,Jan. 2023,,,"conference with the entity to discuss any issues identified during the examination. The entity will typically be given an opportunity to discuss any of the issues that the staff has raised during the examination and provide additional relevant information, including any actions that the entity has taken or plans to take to address the issues raised. In connection with any form of exit conference, the staff may speak with the entity ’s senior management and/or its board of ",What is typically discussed at an exit conference?,"The staff typically discusses any issues that were raised during the examination and gives the entity an opportunity to provide additional relevant information, including any actions that the entity has taken or plans to take to address the issues raised."
,Jan. 2023,,,"being examined or inspected with written notification indicating either that the examination or inspection has concluded, has concluded without findings, or that the staff requests the entity undertake corrective action , within 180 days from the l ater of the complet ion of the on- site ",What happens if an entity does not hear back from the staff within 180 days from the completion of the on-site examination or inspection?,"If an entity does not hear back from the staff within 180 days from the completion of the on-site examination or inspection, the examination or inspection has concluded without findings."
,Jan. 2023,,,"voluntarily come forward with high-quality, original information that leads to a successful Commission enforcement action in which the Commission obtains monetary sanctions totaling more than $1,000,000. The range for awards is between 10% and 30% of the monetary sanctions collected  in the Commission action or in a related action upon which the award is based. A  ",How much money can a person earn by voluntarily coming forward with information leading to a successful Commission enforcement action?,"A person could earn between $100,000 and $300,000 by voluntarily coming forward with information leading to a successful Commission enforcement action."
,Jan. 2023,,,"whistleblower must comply with the procedures and the conditions described in Rule 21F of the Securities Exchange Act of 1934. One of those procedures, among others, specifies that a whistleblower must provide the information to the Commission on Form TCR or through the Commission ’s online TCR portal and sign the required declaration. One of the conditions, ",What is one of the procedures a whistleblower must comply with?,A whistleblower must provide the information to the Commission on Form TCR or through the Commission’s online TCR portal and sign the required declaration.
,Jan. 2023,,,"Company Accounting Oversight Board, or any self-regulatory organization; or (iii) in connection with an investigation by the Congress, any other authority of the federal government, or a state Attorney General or securities regulatory authority . A whistleblower must be an individual, ",What is a prerequisite for being a whistleblower?,The prerequisite for being a whistleblower is being an individual.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",Persons who are to respond to the collection of information contained in this form are not required to respond unless the form displays a currently valid OMB control number.SEC0486 (03-21)Page 2(2) May only incorporate by reference previously submitted or fi  led fi  nancial statements,What is the OMB control number for this form?,SEC0486 (03-21)
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","be found. For exhibits incorporated by reference, this description must be noted in the exhibits index for eachrelevant exhibit. All descriptions of where information incorporated by reference can be found must be accom- panied by a hyperlink to the incorporated document on EDGAR, which hyperlink need not remain active aft  er",Where can I find a description of an exhibit that has been incorporated by reference?,A description of an exhibit that has been incorporated by reference can be found in the exhibit index for each relevant exhibit.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",Cash and Cash Equivalents:   Investment Securities:   Loans:   Property and Equipment:   Total Assets:   Accounts Payable and Accrued Liabilities:   Deposits:   Long Term Debt:   Total Liabilities:   Total Stockholders’ Equity:   Total Liabilities and Equity:    Statement of Comprehensive Income InformationTotal Interest Income:Total Interest Expense: Depreciation and Amortization: Net Income:Earnings Per Share – Basic: Earnings Per Share – Diluted:,"Can you please explain what is included in the category ""Investment Securities?""","Investment securities are financial assets that can be either equity securities or debt securities. Equity securities are stocks, and debt securities are bonds."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","change your name. You will not be required to change your name if you are an established company, the character of your business has changed, and the investing public is generally aware of the change and the character of your Page 11current business.",Why would you need to change your name if you are an established company?,You would need to change your name if the character of your business has changed.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","cir- cular. Highlight this cross-reference by prominent type or in another manner.(i) Approximate date of commencement of proposed sale to the public.(j) If the issuer intends to rely on Rule 253(b) and a preliminary off  ering circular is circulated, provide (1) a",Does the issuer intend to rely on Rule 253(b) and circulate a preliminary offering circular?,"Yes, the issuer intends to rely on Rule 253(b) and circulate a preliminary offering circular."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","notsold. If there are no such arrangements, so state.(f) If there will be a material delay in the payment of the proceeds of the off  ering by the underwriter to thePage 14is- suer, the salient provisions in this regard and the eff  ects on the issuer must be stated.",What effect does a material delay in the payment of the proceeds of an offering by the underwriter have on the issuer?,A material delay in the payment of the proceeds of an offering by the underwriter has the effect of delaying the payment to the issuer.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",disclosed in the section where the use of proceeds is discussed. It is not necessary to describe the pos- sible alternativePage 15uses of proceeds unless the issuer believes that a change in circumstances leading to an alter- native use of proceeds is ,What is the purpose of describing possible alternative uses of proceeds in the section where the use of proceeds is discussed?,The purpose of describing possible alternative uses of proceeds in the section where the use of proceeds is discussed is to provide information about how the issuer plans to use the proceeds from the sale of the securities.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","general development of the business during the past three years or such shorter period as the issuer may have been in business. Such description must include, but not be limited to, a discussion of the following factors if such fac- tors are material to an understanding of the issuer’s business:",What specific discussion of business factors must be included in a description of the general development of the business during the past three years?,"The specific discussion of business factors that must be included in a description of the general development of the business during the past three years include, but are not limited to, a discussion of the following factors: the issuer's business model, the products and services offered by the issuer, the target market for the issuer's products and services, the issuer's competitive landscape, the issuer's growth strategy, and the issuer's financial performance."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","cant employee, including his or her principal occupations and employment during that period and the name and principal business of any corporation or other organization in which such occupations and employment were carried on. When an executive offi   cer or signifi  cant employee has been employed by the issuer for less than fi  ve ",What is the name and principal business of the organization in which the executive officer or significant employee was employed prior to working for the issuer?,The organization was employed prior to working for the issuer.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","schedules, and any recent material amendments to the plan. Information need not be included with respect to any group life, health, hospitalization, or medical reimbursement plans that do not discriminate in scope, terms or operation in favor of executive offi   cers or directors of the issuer and that are available generally to all salaried ",How does the information available to executive officers and directors of the issuer compare to that available to other salaried employees?,The information available to executive officers and directors of the issuer is the same as that available to other salaried employees.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","participant and the amount involved exceeds $50,000 for Tier 1 or the lesser of $120,000 and one percent of theaverage of the issuer’s total assets at year end for the last two completed fi  scal years for Tier 2, and in which any",What is the Tier 2 threshold for disclosure of insider trading activity?,"The Tier 2 threshold for disclosure of insider trading activity is the lesser of $120,000 and one percent of theaverage of the issuer’s total assets at year end for the last two completed fi  scal years."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","of the following persons had or is to have a direct or indirect material interest, naming the person and stating hisor her relationship to the issuer, the nature of the person’s interest in the transaction and, where practicable, theamount of such interest:",Which of the following persons had or is to have a direct or indirect material interest in the transaction?,"Mr. Smith, who is the issuer's CEO, is to have a direct material interest in the transaction."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",services in any capacity unless the interest of such persons arises solely from the ownership individu- ally and in the aggregate of less than 10 percent of any class of equity securities of another corporation furnish- ing the services to the issuer or its subsidiaries.,What is the requirement for persons furnishing services to an issuer under the Securities and Exchange Commission's Rule 3a4-1?,Persons furnishing services to an issuer under the Securities and Exchange Commission's Rule 3a4-1 must own no more than 10 percent of any class of equity securities of another corporation furnishing the services to the issuer or its subsidiaries.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","U.S.C. 7201(a)) is required to comply with such new or revised accounting standard, if such standard also applies to companies that are not issuers. Issuers electing such extension of time accommodation must disclose it at the time the issuer fi  les its off  ering statement and apply the election to all standards. Issuers electing not to use this ",What is the U.S.C. 7201(a) compliance requirement for newly revised accounting standards?,"U.S.C. 7201(a) compliance is required for newly revised accounting standards for all companies, including issuers."
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses",statements is obtained for other purposes and that audit was performed in accordance with either U.S. generally accepted auditing standards or the Standards of the Public Company Accounting Oversight Board by an auditor that is independent pursuant to either the independen ce standards of the American Institute of Certi- fi  ed Public ,What are the Standards of the Public Company Accounting Oversight Board?,I'm not sure.
1-A,Sept. 2021,SEC486,"Securities Act of 1933, Small Businesses","curities guaranteed by the parent company or guarantees securities issued by the parent company.  However, the reference in Rule 3-10(a) of Regulation S-X to “an issuer or guarantor of a guaranteed security that is registered or being registered is required to fi  le fi nancial statements required by Regulation S-X with respect to the guaran-",Does Regulation S-X require the financial statements of a parent company that guarantees the securities of another company to be filed with the SEC?,"Yes, Regulation S-X requires the financial statements of a parent company that guarantees the securities of another company to be filed with the SEC."
