Question,Answer
What of information and d are the possible uses of information and documents provided to the Commission?,"The possible usesocuments provided to the Commission are that the Commission may share the information and documents with other regulators or authorities, and that the Commission may use the information and documents to investigate possible violations."
What is typically discussed at an exit conference?,"The staff typically discusses any issues that were raised during the examination and gives the entity an opportunity to provide additional relevant information, including any actions that the entity has taken or plans to take to address the issues raised."
What happens if an entity does not hear back from the staff within 180 days from the completion of the on-site examination or inspection?,"If an entity does not hear back from the staff within 180 days from the completion of the on-site examination or inspection, the examination or inspection has concluded without findings."
How much money can a person earn by voluntarily coming forward with information leading to a successful Commission enforcement action?,"A person could earn between $100,000 and $300,000 by voluntarily coming forward with information leading to a successful Commission enforcement action."
What is one of the procedures a whistleblower must comply with?,A whistleblower must provide the information to the Commission on Form TCR or through the Commission’s online TCR portal and sign the required declaration.
What is a prerequisite for being a whistleblower?,The prerequisite for being a whistleblower is being an individual.
What is the OMB control number for this form?,SEC0486 (03-21)
Where can I find a description of an exhibit that has been incorporated by reference?,A description of an exhibit that has been incorporated by reference can be found in the exhibit index for each relevant exhibit.
"Can you please explain what is included in the category ""Investment Securities?""","Investment securities are financial assets that can be either equity securities or debt securities. Equity securities are stocks, and debt securities are bonds."
Why would you need to change your name if you are an established company?,You would need to change your name if the character of your business has changed.
Does the issuer intend to rely on Rule 253(b) and circulate a preliminary offering circular?,"Yes, the issuer intends to rely on Rule 253(b) and circulate a preliminary offering circular."
What effect does a material delay in the payment of the proceeds of an offering by the underwriter have on the issuer?,A material delay in the payment of the proceeds of an offering by the underwriter has the effect of delaying the payment to the issuer.
What is the purpose of describing possible alternative uses of proceeds in the section where the use of proceeds is discussed?,The purpose of describing possible alternative uses of proceeds in the section where the use of proceeds is discussed is to provide information about how the issuer plans to use the proceeds from the sale of the securities.
What specific discussion of business factors must be included in a description of the general development of the business during the past three years?,"The specific discussion of business factors that must be included in a description of the general development of the business during the past three years include, but are not limited to, a discussion of the following factors: the issuer's business model, the products and services offered by the issuer, the target market for the issuer's products and services, the issuer's competitive landscape, the issuer's growth strategy, and the issuer's financial performance."
What is the name and principal business of the organization in which the executive officer or significant employee was employed prior to working for the issuer?,The organization was employed prior to working for the issuer.
How does the information available to executive officers and directors of the issuer compare to that available to other salaried employees?,The information available to executive officers and directors of the issuer is the same as that available to other salaried employees.
What is the Tier 2 threshold for disclosure of insider trading activity?,"The Tier 2 threshold for disclosure of insider trading activity is the lesser of $120,000 and one percent of theaverage of the issuer’s total assets at year end for the last two completed fi  scal years."
Which of the following persons had or is to have a direct or indirect material interest in the transaction?,"Mr. Smith, who is the issuer's CEO, is to have a direct material interest in the transaction."
What is the requirement for persons furnishing services to an issuer under the Securities and Exchange Commission's Rule 3a4-1?,Persons furnishing services to an issuer under the Securities and Exchange Commission's Rule 3a4-1 must own no more than 10 percent of any class of equity securities of another corporation furnishing the services to the issuer or its subsidiaries.
What is the U.S.C. 7201(a) compliance requirement for newly revised accounting standards?,"U.S.C. 7201(a) compliance is required for newly revised accounting standards for all companies, including issuers."
What are the Standards of the Public Company Accounting Oversight Board?,I'm not sure.
Does Regulation S-X require the financial statements of a parent company that guarantees the securities of another company to be filed with the SEC?,"Yes, Regulation S-X requires the financial statements of a parent company that guarantees the securities of another company to be filed with the SEC."
What is the value of a current asset if it does not have a determinable market price?,"If a current asset does not have a determinable market price, it has no value."
